Title,Ingredients,Instructions
apple_pie,"['3 pounds (about 8) McIntosh apples', '3/4 cup plus 1 tablespoon sugar', '2 tablespoons all-purpose flour', '1 teaspoon cinnamon', '1/4 teaspoon freshly grated nutmeg', '1/4 teaspoon salt', '1 tablespoon fresh lemon juice', '2 tablespoons cold unsalted butter, cut into bits', 'milk for brushing the crust', '1 1/4 cups all-purpose flour', '3/4 stick (6 tablespoons) cold unsalted butter, cut into bits', '2 tablespoons cold vegetable shortening', '1/4 teaspoon salt', '2 tablespoons ice water plus additional if necessary']","Preheat the oven to 230°C. Roll out half the dough 1/8 inch thick on a lightly floured surface, fit it into a 9-inch (1-quart) glass pie plate, and trim the edge, leaving a 3/4-inch overhang. Chill the shell and the remaining dough while making the filling. In a large bowl toss together the apples, each peeled, cored, and cut into eighths, 3/4 cup of the sugar, the flour, the cinnamon, the nutmeg, the salt, and the lemon juice until the mixture is combined well, transfer the filling to the shell, and dot it with the butter.
Roll out the remaining dough into a 13- by 14-inch round on a lightly floured surface, drape it over the filling, and trim it, leaving a 1-inch overhang. Fold the overhang under the bottom crust, pressing the edge to seal it, and crimp the edge decoratively. Brush the crust lightly with the milk, cut slits in it with a sharp knife, forming steam vents, and sprinkle the pie evenly with the remaining 1 tablespoon sugar. Bake the pie on a large baking sheet in the middle of the oven for 20 minutes, reduce the temperature to 350°C., and bake the pie for 20 to 25 minutes more, or until the crust is golden and the apples are tender.
In a large bowl blend the flour, the butter, the vegetable shortening, and the salt until the mixture resembles meal. Add the 2 tablespoons ice water, toss the mixture until the water is incorporated, adding the additional ice water if necessary to form a dough, and form the dough into a ball. Dust the dough with flour and chill it, wrapped in wax paper, for 1 hour."
baby_back_ribs,"['1 or 2 racks baby back ribs, 2 1/2 to 3 1/2 pounds total', '4 cups apple juice', '1/2 cup cider vinegar', '1/2 cup favorite barbecue sauce']","Preheat the oven to 230°C. Roll out half the dough 1/8 inch thick on a lightly floured surface, fit it into a 9-inch (1-quart) glass pie plate, and trim the edge, leaving a 3/4-inch overhang. Chill the shell and the remaining dough while making the filling. In a large bowl toss together the apples, each peeled, cored, and cut into eighths, 3/4 cup of the sugar, the flour, the cinnamon, the nutmeg, the salt, and the lemon juice until the mixture is combined well, transfer the filling to the shell, and dot it with the butter.
Roll out the remaining dough into a 13- by 14-inch round on a lightly floured surface, drape it over the filling, and trim it, leaving a 1-inch overhang. Fold the overhang under the bottom crust, pressing the edge to seal it, and crimp the edge decoratively. Brush the crust lightly with the milk, cut slits in it with a sharp knife, forming steam vents, and sprinkle the pie evenly with the remaining 1 tablespoon sugar. Bake the pie on a large baking sheet in the middle of the oven for 20 minutes, reduce the temperature to 350°C., and bake the pie for 20 to 25 minutes more, or until the crust is golden and the apples are tender.
In a large bowl blend the flour, the butter, the vegetable shortening, and the salt until the mixture resembles meal. Add the 2 tablespoons ice water, toss the mixture until the water is incorporated, adding the additional ice water if necessary to form a dough, and form the dough into a ball. Dust the dough with flour and chill it, wrapped in wax paper, for 1 hour."
baklava,"['3 1/2 cups walnuts, chopped', '1/2 cup sugar', '1 teaspoon ground cinnamon', '1/2 teaspoon ground cardamom', '1/4 teaspoon ground cloves', '1 pound package phyllo sheets, thawed', '1 1/2 cups butter, melted', '2 cups, plus 2 tablespoons sugar', '1 1/2 cups water', '1/2 cup honey', '1/4 lemon, peel only', '1 clove']","Preheat the oven to 190°C.
Mix together the walnuts, sugar, and spices and set aside.
As you work, keep the sheets of phyllo covered with plastic wrap to keep them from drying out. Place 1 sheet of phyllo on the bottom of a jelly roll pan (12-inch x16-inch). Brush the dough lightly with melted butter. Repeat this process until there are 8 sheets of phyllo in the pan.
Sprinkle one-third of the nut mixture onto the phyllo sheets.
Place 4 more sheets of phyllo on top of the nuts, brushing melted butter between each sheet.
Place another one-third of the nut mixture on the dough.
Layer the remaining sheets of phyllo on top of the nuts, brushing melted butter in between each sheet. Brush the top sheet with butter as well.
Trim the edges so that they do not stand above the level of the dough.
Cut the pastry into 2-inch squares, making sure not to slice through the bottom layer of phyllo dough. Leaving the bottom layer uncut will allow the syrup to soak in more efficiently.
Bake at 190°C for 25-30 minutes or until the top layer of the phyllo takes on a light golden brown color.
While the dough bakes prepare the syrup. Combine all of the ingredients and bring to a boil. Remove the clove and lemon peel.
Remove the pan from the oven and immediately pour hot syrup over the baklava.
Before serving allow the baklava to stand at room temperature until cooled. Slice through the bottom layer of phyllo dough and serve."
beet_salad,"['4 medium red or golden beets (4 ounces each), stems and root ends removed', '1/3 cup walnuts, chopped', '1 tablespoon balsamic vinegar', 'Freshly ground black pepper', '1 tablespoon sunflower-seed oil', '2 ounces lowfat goat cheese']","Heat oven to 200°C. Wrap each beet in foil. Roast until soft, about 1 hour. Cool slightly; remove foil. Rub off skins; cut into wedges. Toss with nuts and vinegar. Season with salt and pepper. Add oil; toss. Divide among 4 plates; crumble cheese on top."
beignets,"['1 cup lukewarm milk, about 110°F', '1/2 cup granulated sugar', '1 package dry yeast', '4 cups all-purpose flour', '1/2 cup melted butter', '1/2 teaspoon salt', '1/2 teaspoon vanilla extract', '4–6 cups canola oil', '1 cup powdered sugar']","1. Pour the warm milk into a large bowl. Mix 1 tablespoon of the granulated sugar, the yeast, and a heaping tablespoon of the flour into the milk, mixing with a whisk, until both the sugar and the yeast have dissolved.
2. Once bubbles have developed on the surface of the milk and it begins to foam, whisk in the butter, salt, and vanilla. Add the remaining flour and sugar, folding them into the wet ingredients with a large rubber spatula. Knead the dough by hand in the bowl for about 5 minutes, then cover the bowl with plastic wrap and refrigerate the dough for 6–8 hours.
3. Remove the dough from the refrigerator and roll out on a floured surface to a thickness of 1/4 inch. Cut into 2-inch squares, cover loosely with plastic wrap, and allow the beignets to rise for about an hour.
4. Heat the oil in a large deep skillet over high heat until it reaches 180°C. Use a candy thermometer to check temperature. Fry the beignets in small batches in the hot oil, turning them every 30 seconds or so with tongs, until golden brown all over. Use tongs to remove beignets from the oil and drain on paper towels. Put the powdered sugar into a fine-mesh strainer and dust the warm beignets generously with the sugar."
bibimbap,"['3/4 cup soy sauce', '6 tablespoons toasted sesame oil', '4 tablespoons light brown sugar', '1 pound ground turkey, beef, or pork', '2 tablespoons vegetable oil', '4 large eggs', '2 cups cooked rice (Chinese takeout works well)', 'Assorted vegetables (shredded carrot, canned baby corn, spinach, bean sprouts, red onion ), steamed or raw', 'Toasted sesame seeds']","1. Pour the warm milk into a large bowl. Mix 1 tablespoon of the granulated sugar, the yeast, and a heaping tablespoon of the flour into the milk, mixing with a whisk, until both the sugar and the yeast have dissolved.
2. Once bubbles have developed on the surface of the milk and it begins to foam, whisk in the butter, salt, and vanilla. Add the remaining flour and sugar, folding them into the wet ingredients with a large rubber spatula. Knead the dough by hand in the bowl for about 5 minutes, then cover the bowl with plastic wrap and refrigerate the dough for 6–8 hours.
3. Remove the dough from the refrigerator and roll out on a floured surface to a thickness of 1/4 inch. Cut into 2-inch squares, cover loosely with plastic wrap, and allow the beignets to rise for about an hour.
4. Heat the oil in a large deep skillet over high heat until it reaches 180°C. Use a candy thermometer to check temperature. Fry the beignets in small batches in the hot oil, turning them every 30 seconds or so with tongs, until golden brown all over. Use tongs to remove beignets from the oil and drain on paper towels. Put the powdered sugar into a fine-mesh strainer and dust the warm beignets generously with the sugar."
bread_pudding,"['1 loaf of stale French bread', '1 quart milk', '3 eggs', '1 1/2 cups sugar', '2 tablespoons pure vanilla extract', '1 cup dried cherries', 'Heavy cream, for serving']","1. Cut bread in 1-inch cubes and place in a bowl. Pour milk over it; let stand for 1 hour.
2. Preheat the oven to 160°C. Butter the bottom and sides of a 9x13x2-inch ovento- table baking dish.
3. In another bowl, beat together the eggs, sugar, and vanilla. Stir this into the bread mixture. Add the dried cherries.
4. Pour into the prepared baking dish. Bake on the middle rack of the oven for about 1 hour and 10 minutes, or until golden brown. Cool to room temperature, cover with aluminum foil, and refrigerate overnight.
5. Remove from the refrigerator 30 minutes before reheating. Reheat, covered with foil, at 160°C for 15 to 20 minutes. Serve warm or at room temperature. Pass a pitcher of cream to moisten."
breakfast_burrito,"['4 eggs', '2 tablespoons milk', '3/4 cup pinto beans, cooked, rinsed and drained', '1/2 cup salsa', 'canola oil spray, oil or butter for pan', '2 corn tortillas, warmed if desired', 'sour cream, cheese or avocado, optional']","1. Cut bread in 1-inch cubes and place in a bowl. Pour milk over it; let stand for 1 hour.
2. Preheat the oven to 160°C. Butter the bottom and sides of a 9x13x2-inch ovento- table baking dish.
3. In another bowl, beat together the eggs, sugar, and vanilla. Stir this into the bread mixture. Add the dried cherries.
4. Pour into the prepared baking dish. Bake on the middle rack of the oven for about 1 hour and 10 minutes, or until golden brown. Cool to room temperature, cover with aluminum foil, and refrigerate overnight.
5. Remove from the refrigerator 30 minutes before reheating. Reheat, covered with foil, at 160°C for 15 to 20 minutes. Serve warm or at room temperature. Pass a pitcher of cream to moisten."
bruschetta,"['2 cups assorted cherry, grape, and teardrop tomatoes, halved (or quartered if large)', '1/2 small red onion, finely chopped', '3 tablespoons olive oil plus additional for brushing', '3 tablespoons chopped fresh basil', '1 1/2 tablespoons balsamic vinegar', '1 large loaf focaccia, halved horizontally (reserve half for another use)', '1 garlic clove, peeled, halved']","1. Cut bread in 1-inch cubes and place in a bowl. Pour milk over it; let stand for 1 hour.
2. Preheat the oven to 160°C. Butter the bottom and sides of a 9x13x2-inch ovento- table baking dish.
3. In another bowl, beat together the eggs, sugar, and vanilla. Stir this into the bread mixture. Add the dried cherries.
4. Pour into the prepared baking dish. Bake on the middle rack of the oven for about 1 hour and 10 minutes, or until golden brown. Cool to room temperature, cover with aluminum foil, and refrigerate overnight.
5. Remove from the refrigerator 30 minutes before reheating. Reheat, covered with foil, at 160°C for 15 to 20 minutes. Serve warm or at room temperature. Pass a pitcher of cream to moisten."
caesar_salad,"['6 anchovy fillets packed in oil', '1 small garlic clove', '2 large egg yolks*', '2 tablespoons fresh lemon juice', '3/4 teaspoon Dijon mustard', '5 tablespoons olive oil, divided', '1/2 cup vegetable oil', '3 tablespoons finely grated Parmesan', '3 cups torn 1"" pieces country bread', '3 romaine hearts', 'Kosher salt', 'Freshly ground black pepper']","A great Caesar salad gets its swagger from a great dressing. Squeamish about raw egg yolks and anchovies? Sorry. Yolks are what give richness to the emulsion, while anchovies provide a briny blast (and that whole umami thing). Here's our go-to recipe: Chop together 6 anchovy fillets packed in oil, 1 small garlic clove, and a pinch of kosher salt. Use the side of a knife blade to mash into a paste, then scrape into a medium bowl. Whisk in 2 large egg yolks*, 2 tablespoons fresh lemon juice, and 3/4 teaspoon Dijon mustard. Adding drop by drop to start, gradually whisk in 2 tablespoons olive oil, then 1/2 cup vegetable oil; whisk until dressing is thick and glossy. Whisk in 3 tablespoons finely grated Parmesan. Season with salt, freshly ground black pepper, and more lemon juice, if desired. Can be made 1 day ahead.
Make your own. Tearing, not cutting, the bread ensures nooks and crannies that catch the dressing and add texture. Toss 3 cups torn 1"" pieces country bread with 3 tablespoons olive oil on a baking sheet; season with kosher salt and freshly ground black pepper. Bake at 190°C, tossing occasionally, until golden, 10-15 minutes.
Use whole leaves from 3 romaine hearts to feed 6 people. They provide the ideal mix of crispness, surface area, and structure.
Caesars crowned with a mound of grated Parmesan may look impressive, but all that clumpy cheese mutes the dressing. Instead, use a vegetable peeler to thinly shave a modest amount on top for little salty bursts.
Skip the tongs. Use your hands to gently toss the lettuce, croutons, and dressing, then top off with the shaved Parm."
